timestamp,severity,pid,ppid,name,path,username,status,reason
2026-08-17 16:35:36,MEDIUM,11360,1700,LockApp.exe,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe,VASANTHA\nitin,stopped,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,11528,10312,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,12032,11528,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,12180,9420,SecurityHealthSystray.exe,C:\Windows\System32\SecurityHealthSystray.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,12352,1504,SearchIndexer.exe,C:\Windows\System32\SearchIndexer.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,12528,1700,PhoneExperienceHost.exe,C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26062.145.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,12720,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,12888,11528,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,12912,11528,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,13032,11528,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,13184,11528,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,13216,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,13356,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,13860,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,13872,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,13932,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,14040,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,14048,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,14116,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,14504,14456,browserhost.exe,C:\Program Files\McAfee\WebAdvisor\browserhost.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
